arm,condition,signal,split,threshold,tp,fp,tn,fn,precision,recall,specificity,f1,accuracy,balanced_accuracy,mcc,average_precision,auroc,positive_prevalence,span_count
stored_six_decimal_scores,original_dev17,all_negative,test,0.5,0,0,42,61,0.0,0.0,1.0,0.0,0.4077669902912621,0.5,0.0,0.5922330097087378,0.5,0.5922330097087378,103
stored_six_decimal_scores,original_dev17,dev_fact_type_prior,dev,0.575,61,22,19,0,0.7349397590361446,1.0,0.4634146341463415,0.8472222222222222,0.7843137254901961,0.7317073170731707,0.5835938995168947,0.8811485352016519,0.8628548580567773,0.5980392156862745,102
stored_six_decimal_scores,original_dev17,dev_fact_type_prior,test,0.575,61,24,18,0,0.7176470588235294,1.0,0.42857142857142855,0.8356164383561644,0.7669902912621359,0.7142857142857143,0.5545836503270576,0.7598384536560515,0.7681498829039812,0.5922330097087378,103
stored_six_decimal_scores,supplemented_dev18,mean_token_nll,dev,0.044049,42,10,40,19,0.8076923076923077,0.6885245901639344,0.8,0.7433628318584071,0.7387387387387387,0.7442622950819673,0.48708939159620523,0.7898358650907812,0.7280327868852459,0.5495495495495496,111
stored_six_decimal_scores,supplemented_dev18,mean_token_nll,test,0.044049,42,10,32,19,0.8076923076923077,0.6885245901639344,0.7619047619047619,0.7433628318584071,0.7184466019417476,0.7252146760343481,0.44272035113480773,0.8319730361347213,0.755464480874317,0.5922330097087378,103
stored_six_decimal_scores,supplemented_dev18,mean_token_entropy,dev,0.081866,45,18,32,16,0.7142857142857143,0.7377049180327869,0.64,0.7258064516129032,0.6936936936936937,0.6888524590163935,0.3793251742529278,0.7818268577864413,0.7183606557377049,0.5495495495495496,111
stored_six_decimal_scores,supplemented_dev18,mean_token_entropy,test,0.081866,47,17,25,14,0.734375,0.7704918032786885,0.5952380952380952,0.752,0.6990291262135923,0.6828649492583918,0.3705337209289368,0.8095413408309736,0.7361436377829821,0.5922330097087378,103
stored_six_decimal_scores,supplemented_dev18,max_token_entropy,dev,0.687115,39,6,44,22,0.8666666666666667,0.639344262295082,0.88,0.7358490566037735,0.7477477477477478,0.759672131147541,0.5262923204430947,0.7955828473724045,0.738688524590164,0.5495495495495496,111
stored_six_decimal_scores,supplemented_dev18,max_token_entropy,test,0.687115,39,8,34,22,0.8297872340425532,0.639344262295082,0.8095238095238095,0.7222222222222222,0.7087378640776699,0.7244340359094458,0.44285885736885466,0.8053407662925987,0.7451209992193599,0.5922330097087378,103
stored_six_decimal_scores,supplemented_dev18,one_minus_mean_top2_margin,dev,0.061265,44,13,37,17,0.7719298245614035,0.7213114754098361,0.74,0.7457627118644068,0.7297297297297297,0.7306557377049181,0.4592084489403265,0.7660739091859444,0.7232786885245902,0.5495495495495496,111
stored_six_decimal_scores,supplemented_dev18,one_minus_mean_top2_margin,test,0.061265,41,12,30,20,0.7735849056603774,0.6721311475409836,0.7142857142857143,0.7192982456140351,0.6893203883495146,0.6932084309133489,0.37994671583145184,0.8239586767376401,0.7462919594067136,0.5922330097087378,103
stored_six_decimal_scores,supplemented_dev18,one_minus_min_top2_margin,dev,0.334333,43,12,38,18,0.7818181818181819,0.7049180327868853,0.76,0.7413793103448276,0.7297297297297297,0.7324590163934426,0.46264828107089967,0.823309083980973,0.739344262295082,0.5495495495495496,111
stored_six_decimal_scores,supplemented_dev18,one_minus_min_top2_margin,test,0.334333,41,7,35,20,0.8541666666666666,0.6721311475409836,0.8333333333333334,0.7522935779816514,0.7378640776699029,0.7527322404371585,0.4979414071698933,0.8350726705510306,0.7568306010928961,0.5922330097087378,103
stored_six_decimal_scores,supplemented_dev18,mean_spilled_energy_abs_delta,dev,0.793505,61,47,3,0,0.5648148148148148,1.0,0.06,0.7218934911242604,0.5765765765765766,0.53,0.18408935028645435,0.5514428189732924,0.39737704918032785,0.5495495495495496,111
stored_six_decimal_scores,supplemented_dev18,mean_spilled_energy_abs_delta,test,0.793505,59,40,2,2,0.5959595959595959,0.9672131147540983,0.047619047619047616,0.7375,0.5922330097087378,0.507416081186573,0.037726493456644104,0.587658403969658,0.41451990632318503,0.5922330097087378,103
stored_six_decimal_scores,supplemented_dev18,max_spilled_energy_abs_delta,dev,0.793505,61,47,3,0,0.5648148148148148,1.0,0.06,0.7218934911242604,0.5765765765765766,0.53,0.18408935028645435,0.5105045176188991,0.4042622950819672,0.5495495495495496,111
stored_six_decimal_scores,supplemented_dev18,max_spilled_energy_abs_delta,test,0.793505,59,40,2,2,0.5959595959595959,0.9672131147540983,0.047619047619047616,0.7375,0.5922330097087378,0.507416081186573,0.037726493456644104,0.5481077905847863,0.36846213895394225,0.5922330097087378,103
stored_six_decimal_scores,supplemented_dev18,mean_spilled_energy_delta,dev,-2.396714,61,49,1,0,0.5545454545454546,1.0,0.02,0.7134502923976608,0.5585585585585585,0.51,0.10531338514599695,0.7154956257784036,0.6272131147540984,0.5495495495495496,111
stored_six_decimal_scores,supplemented_dev18,mean_spilled_energy_delta,test,-2.396714,61,42,0,0,0.5922330097087378,1.0,0.0,0.7439024390243902,0.5922330097087378,0.5,0.0,0.7189527134759118,0.5987509758001561,0.5922330097087378,103
stored_six_decimal_scores,supplemented_dev18,negative_mean_spilled_energy_delta,dev,-5.590794,61,50,0,0,0.5495495495495496,1.0,0.0,0.7093023255813954,0.5495495495495496,0.5,0.0,0.5438658381314799,0.37278688524590164,0.5495495495495496,111
stored_six_decimal_scores,supplemented_dev18,negative_mean_spilled_energy_delta,test,-5.590794,61,42,0,0,0.5922330097087378,1.0,0.0,0.7439024390243902,0.5922330097087378,0.5,0.0,0.5756879237162901,0.4012490241998439,0.5922330097087378,103
stored_six_decimal_scores,supplemented_dev18,mean_spilled_probability_mass_after_top1,dev,0.040476,42,11,39,19,0.7924528301886793,0.6885245901639344,0.78,0.7368421052631579,0.7297297297297297,0.7342622950819673,0.46669202281465677,0.7918311821213678,0.730655737704918,0.5495495495495496,111
stored_six_decimal_scores,supplemented_dev18,mean_spilled_probability_mass_after_top1,test,0.040476,41,10,32,20,0.803921568627451,0.6721311475409836,0.7619047619047619,0.7321428571428571,0.7087378640776699,0.7170179547228728,0.4266074787364872,0.8212107104092198,0.7441451990632318,0.5922330097087378,103
stored_six_decimal_scores,supplemented_dev18,mean_spilled_probability_mass_after_top2,dev,0.000225,50,25,25,11,0.6666666666666666,0.819672131147541,0.5,0.7352941176470589,0.6756756756756757,0.6598360655737705,0.33976044276805584,0.8054487640587625,0.7201639344262295,0.5495495495495496,111
stored_six_decimal_scores,supplemented_dev18,mean_spilled_probability_mass_after_top2,test,0.000225,51,20,22,10,0.7183098591549296,0.8360655737704918,0.5238095238095238,0.7727272727272727,0.7087378640776699,0.6799375487900079,0.3821529309874683,0.8079665074020165,0.7275565964090555,0.5922330097087378,103
stored_six_decimal_scores,supplemented_dev18,max_selected_step_energy_gap,dev,0.195013,43,12,38,18,0.7818181818181819,0.7049180327868853,0.76,0.7413793103448276,0.7297297297297297,0.7324590163934426,0.46264828107089967,0.7943032219143744,0.7321311475409836,0.5495495495495496,111
stored_six_decimal_scores,supplemented_dev18,max_selected_step_energy_gap,test,0.195013,41,9,33,20,0.82,0.6721311475409836,0.7857142857142857,0.7387387387387387,0.7184466019417476,0.7289227166276346,0.45017929057605355,0.8304618411696051,0.7591725214676034,0.5922330097087378,103
stored_six_decimal_scores,supplemented_dev18,all_positive,dev,0.5,61,50,0,0,0.5495495495495496,1.0,0.0,0.7093023255813954,0.5495495495495496,0.5,0.0,0.5495495495495495,0.5,0.5495495495495496,111
stored_six_decimal_scores,supplemented_dev18,all_positive,test,0.5,61,42,0,0,0.5922330097087378,1.0,0.0,0.7439024390243902,0.5922330097087378,0.5,0.0,0.5922330097087378,0.5,0.5922330097087378,103
stored_six_decimal_scores,supplemented_dev18,all_negative,dev,0.5,0,0,50,61,0.0,0.0,1.0,0.0,0.45045045045045046,0.5,0.0,0.5495495495495495,0.5,0.5495495495495496,111
stored_six_decimal_scores,supplemented_dev18,all_negative,test,0.5,0,0,42,61,0.0,0.0,1.0,0.0,0.4077669902912621,0.5,0.0,0.5922330097087378,0.5,0.5922330097087378,103
